Name,State,Country,Location
Barberton,Ohio,US,"41.01283 , -81.60512"
Boardman,Ohio,US,"41.02423 , -80.66285"
Brunswick,Ohio,US,"41.23811 , -81.8418"
North Canton,Ohio,US,"40.87589 , -81.40234"
Cuyahoga Falls,Ohio,US,"41.13394 , -81.48456"
Green,Ohio,US,"40.94589 , -81.48317"
Hudson,Ohio,US,"41.24006 , -81.44067"
Kent,Ohio,US,"41.15367 , -81.35789"
Massillon,Ohio,US,"40.79672 , -81.52151"
Medina,Ohio,US,"41.13839 , -81.86375"
Niles,Ohio,US,"41.18284 , -80.76536"
Stow,Ohio,US,"41.1595 , -81.44039"
Warren,Ohio,US,"41.23756 , -80.81842"
Wooster,Ohio,US,"40.80517 , -81.93646"
Youngstown,Ohio,US,"41.09978 , -80.64952"
Bonita Springs,Florida,US,"26.33981 , -81.7787"
Cape Coral,Florida,US,"26.56285 , -81.94953"
North Fort Myers,Florida,US,"26.66729 , -81.88009"
Golden Gate,Florida,US,"26.18787 , -81.69509"
Lehigh Acres,Florida,US,"26.62535 , -81.6248"
Naples,Florida,US,"26.14234 , -81.79596"
North Fort Myers,Florida,US,"26.66729 , -81.88009"
Aspen Hill,Maryland,US,"39.07955 , -77.07303"
North Bethesda,Maryland,US,"39.04455 , -77.11887"
Bowie,Maryland,US,"38.94278 , -76.73028"
Chillum,Maryland,US,"38.96372 , -76.99081"
Clinton,Maryland,US,"38.76511 , -76.89831"
College Park,Maryland,US,"38.98067 , -76.93692"
Cumberland,Maryland,US,"39.65287 , -78.76252"
Fairland,Maryland,US,"39.07622 , -76.95775"
Fort Washington,Maryland,US,"38.70734 , -77.02303"
Frederick,Maryland,US,"39.41427 , -77.41054"
Gaithersburg,Maryland,US,"39.14344 , -77.20137"
Germantown,Maryland,US,"39.17316 , -77.27165"
Greenbelt,Maryland,US,"39.00455 , -76.87553"
Hagerstown,Maryland,US,"39.64176 , -77.71999"
Landover,Maryland,US,"38.934 , -76.89664"
Montgomery Village,Maryland,US,"39.17677 , -77.19526"
North Bethesda,Maryland,US,"39.04455 , -77.11887"
South Laurel,Maryland,US,"39.06983 , -76.85025"
North Potomac,Maryland,US,"39.08289 , -77.26498"
Olney,Maryland,US,"39.15316 , -77.06692"
Potomac,Maryland,US,"39.01817 , -77.20859"
Rockville,Maryland,US,"39.084 , -77.15276"
